Design,Materials,matrials_Attribute,materials_Attribute_value,used_qty,Materials_units,perSq.yard(Design Based)
00011A,60 C IMP PALE,color,Black,4.3,kg,1
00011A,60 C IMP WHITE,color,White,2.9,kg,1
00011A,C IMP,shade,5001TD,0.25,kg,1
00011A,C IMP,shade,5030TD,0.96,kg,1
00011A,60 C TUSSA LIGHT,shade,5014TD,0.47,kg,1
00025A,60 C TUSSA LIGHT,shade,5003TD,1,m,1
00025A,60 C TUSSA LIGHT,shade,5001TD,0.97,kg,1
00025A,60 C TUSSA MEDIUM,shade,S-1076TD,0.47,kg,1
00025A,60 C TUSSA LIGHT,shade,1 NOTD,0.28,kg,1
00025A,60 C TUSSA LIGHT,shade,S-1596TD,0.75,kg,1
